article_slug,product_name,product_type,selection_note,affiliate_url,link_type
beginner-garden-setup,Seed starter trays with humidity dome,starter kit,Helps extend the short season indoors.,https://www.amazon.ca/s?k=seed+starter+trays+with+humidity+dome&tag=simplekit-20,search_link
beginner-garden-setup,Garden hose timer,watering,Helps beginners stay consistent with watering.,https://www.amazon.ca/s?k=garden+hose+timer+outdoor&tag=simplekit-20,search_link
smart-backyard-setup,Amazon Smart Plug,smart plug,Exact Amazon Canada product page found; indoor only.,https://www.amazon.ca/dp/B089DTMHW4?tag=simplekit-20,direct_product
smart-backyard-setup,Amazon Basics Outdoor Smart Plug,outdoor smart plug,Good fit for Alexa-based outdoor automation.,https://www.amazon.ca/s?k=Amazon+Basics+Outdoor+Smart+Plug+Alexa&tag=simplekit-20,search_link
smart-backyard-setup,TP-Link Tapo C500 Outdoor Camera,outdoor camera,Outdoor camera option with pan/tilt coverage.,https://www.amazon.ca/s?k=TP-Link+Tapo+C500+outdoor+camera&tag=simplekit-20,search_link
automate-backyard-lighting,Amazon Basics Outdoor Smart Plug,outdoor smart plug,Simple way to automate exterior lighting circuits.,https://www.amazon.ca/s?k=Amazon+Basics+Outdoor+Smart+Plug+Alexa&tag=simplekit-20,search_link
automate-backyard-lighting,Amazon Smart Plug,indoor smart plug,Best for sheltered indoor-controlled plug points.,https://www.amazon.ca/dp/B089DTMHW4?tag=simplekit-20,direct_product
automate-backyard-lighting,Smart LED outdoor string lights,smart string light,Good for app-based scenes and timers.,https://www.amazon.ca/s?k=smart+LED+outdoor+string+lights+Alexa&tag=simplekit-20,search_link
cozy-backyard-setup,Addlon 48FT Outdoor String Lights,string lights,Ambient lighting anchor for a cozy setup.,https://www.amazon.ca/s?k=Addlon+48FT+outdoor+string+lights&tag=simplekit-20,search_link
cozy-backyard-setup,Outdoor throw blanket waterproof backed,textile,Useful shoulder-season comfort add-on.,https://www.amazon.ca/s?k=outdoor+throw+blanket+waterproof+backed&tag=simplekit-20,search_link
cozy-backyard-setup,Portable propane patio heater,heater,Adds shoulder-season warmth where a fire pit is not practical.,https://www.amazon.ca/s?k=portable+propane+patio+heater+outdoor&tag=simplekit-20,search_link
small-backyard-transformation,Keter raised planter box,planter,Vertical or compact planting helps small spaces work harder.,https://www.amazon.ca/s?k=Keter+raised+planter+box&tag=simplekit-20,search_link
small-backyard-transformation,Outdoor storage bench deck box,storage,Adds hidden storage while doubling as seating.,https://www.amazon.ca/s?k=outdoor+storage+bench+deck+box&tag=simplekit-20,search_link
small-backyard-transformation,Addlon 48FT Outdoor String Lights,lighting,Creates height and ambiance without eating floor area.,https://www.amazon.ca/s?k=Addlon+48FT+outdoor+string+lights&tag=simplekit-20,search_link
